Account Type,Acct #,Processing Date,Balance,CR (Deposit) or DR (Withdrawal,Amount,Description 1,,,,,
Checking,211111110,2017-11-01,239.00,,,,,,,,
Checking,211111110,2017-11-02,,DR,$2.00,Starbucks, ,,,,
Checking,211111110,2017-11-04,,CR,$800.00,Payroll,,,,,
Checking,211111110,2017-11-07,,DR,$8.00,Chipotle,,,,,
Checking,211111110,2017-11-09,,DR,$10.00,ATM,,,,,
Checking,211111110,2017-11-10,,DR,$32.00,Hoolihans,,,,,
Checking,211111110,2017-11-10,,DR,$100.00,KCPL,,,,,
Checking,211111110,2017-11-10,,DR,$190.00,Google Fiber,,,,,
Checking,211111110,2017-11-15,,DR,$9.99,Netflix,,,,,
Checking,211111110,2017-11-15,,DR,$350.00,Rent,,,,,
Checking,211111110,2017-11-17,,DR,$2.00,Starbucks,,,,,
Checking,211111110,2017-11-18,,CR,$750.00,Payroll,,,,,
Checking,211111110,2017-11-18,,DR,$620.00,Commerce Bank Credit Card payment,,,,,
Checking,211111110,2017-11-19,,DR,$150.00,McFaddens,,,,,
Checking,211111110,2017-11-22,,DR,$100.00,Price Chopper,,,,,
Checking,211111110,2017-11-23,,CR,$50.00,Check from friend,,,,,
Checking,211111110,2017-12-02,,CR,$800.00,Payroll,,,,,
Checking,211111110,2017-12-02,,DR,$9.00,Hyvee,,,,,
Checking,211111110,2017-12-12,,DR,$14.00,McFaddens,,,,,
Checking,211111110,2017-12-13,,DR,$32.00,Target,,,,,
Checking,211111110,2017-12-13,,DR,$100.00,KCPL,,,,,
Checking,211111110,2017-12-17,,CR,$750.00,Payroll,,,,,
Checking,211111110,2017-12-18,,DR,$190.00,Google Fiber,,,,,
Checking,211111110,2017-12-18,,DR,$9.99,Netflix,,,,,
Checking,211111110,2017-12-18,,DR,$350.00,Rent,,,,,
Checking,211111110,2017-12-22,,DR,$6.50,Neo's,,,,,
Checking,211111110,2017-12-22,,DR,$230.00,Commerce Bank Credit Card payment,,,,,
Checking,211111110,2017-12-22,,DR,$100.00,Best Buy,,,, ,
Checking,211111110,2017-12-22,,DR,$300.00,Pottery Barn,,,,,
Checking,211111110,2017-12-26,,DR,$23.00,The Loft,,,,,
Checking,211111110,2017-12-26,,DR,$45.00,Dave and Busters,,,,,
Checking,211111110,2017-12-26,,DR,$35.00,Bowling,,,,,
Checking,211111110,2017-12-30,,CR,$800.00,Payroll,,,,,
Checking,211111110,2017-12-31,,DR,$210.00,McFaddens,,,,,
Checking,211111110,2017-12-31,,DR,$18.00,Taco Bell,,,,,
Checking,211111110,2017-12-31,,DR,$45.00,QuikTrip,,,,,
Checking,211111110,2018-01-02,,DR,$130.00,KCPL,,,,,
Checking,211111110,2018-01-02,,DR,$185.00,Google Fiber,,,,,
Checking,211111110,2018-01-04,,DR,$7.99,Netflix,,,,,
Checking,211111110,2018-01-04,,DR,$56.00,Price Chopper,,,,,
Checking,211111110,2018-01-06,,DR,$43.00,Price Chopper,,,,,
Checking,211111110,2018-01-07,,DR,$98.00,Target,,,,,
Checking,211111110,2018-01-09,,DR,$13.00,Jose Peppers,,,,,
Checking,211111110,2018-01-10,,DR,$9.00,Starbucks,,,,,
Checking,211111110,2018-01-12,,DR,$350.00,Rent,,,,,
Checking,211111110,2018-01-12,,DR,$3.50,Redbox,,,,,
Checking,211111110,2018-01-12,,DR,$301.00,Bank of America Credit Card payment,,,,,
Checking,211111110,2018-01-13,,CR,$730.00,Payroll,,,,,
Checking,211111110,2018-01-14,,DR,$232.68,Target,,,,,
Checking,211111110,2018-01-14,,DR,$18.50,Best Buy,,,,,
Checking,211111110,2018-01-16,,DR,$120.00,Nationwide,,,,,
Checking,211111110,2018-01-18,,DR,$50.00,KC Police - Speeding Ticket,,,,,
Checking,211111110,2018-01-18,,DR,$50.00,Uber,,,,,
Checking,211111110,2018-01-18,,DR,$9.20,Manny's,,,,,
Checking,211111110,2018-01-19,,DR,$24.75,Toys R Us,,,,,
Checking,211111110,2018-01-19,,DR,$3.50,Scooters,,,,,
Checking,211111110,2018-01-20,,DR,$36.00,QuikTrip,,,,,
Checking,211111110,2018-01-20,,DR,$32.00,Price Chopper,,,,,
Checking,211111110,2018-01-21,,DR,$48.12,Home Depot,,,,,
Checking,211111110,2018-01-22,,DR,$4.20,Burger King,,,,,
Checking,211111110,2018-01-22,,DR,$45.00,Jiffy Lube,,,,,
Checking,211111110,2018-01-22,,DR,$25.00,Doctor visit,,,,,
Checking,211111110,2018-01-23,,DR,$36.00,CVS,,,,,
Checking,211111110,2018-01-23,,DR,$29.00,Price Chopper,,,,,
Checking,211111110,2018-01-23,,DR,$200.00,Transfer to Savings,,,,,
Checking,211111110,2018-01-23,,CR,$150.00,Christmas Check from Grandma,,,,,
Checking,211111110,2018-01-23,,DR,$250.00,Student loans,,,,,
Checking,211111110,2018-01-23,,DR,$75.00,Ford Service,,,,,
Checking,211111110,2018-01-27,,DR,$36.00,Hallmark,,,,,
Checking,211111110,2018-01-27,,DR,$22.00,CVS,,,,,
Checking,211111110,2018-01-27,,CR,$810.00,Payroll,,,,,
Checking,211111110,2018-01-30,,DR,$180.00,Pottery Barn, , ,,,
Checking,211111110,2018-01-30,,DR,$46.00,Cheesecake Factory,,,,,
Checking,211111110,2018-01-30,,DR,$8.00,Starbucks,,,,,
,,,,,,,,,,,
Credit Card,3111 3450 2930 9203,2017-11-01,500.00,,,,,,,,
Credit Card,3111 3450 2930 9203,2017-11-30,,DR,$4.60,McDonalds,,,,,
Credit Card,3111 3450 2930 9203,2017-12-02,,DR,$23.45,Target,,,,,
Credit Card,3111 3450 2930 9203,2017-12-02,,DR,$40.00,Michaels,,,,,
Credit Card,3111 3450 2930 9203,2017-12-06,,DR,$6.70,Hyvee,,,,,
Credit Card,3111 3450 2930 9203,2017-12-06,,DR,$8.90,Panda Express,,,,,
Credit Card,3111 3450 2930 9203,2017-12-15,,DR,$12.30,Chipotle,,,,,
Credit Card,3111 3450 2930 9203,2017-12-17, ,DR,$7.60,CVS,,,,,
Credit Card,3111 3450 2930 9203,2017-12-17,,DR,$6.50,Bolings,,,,,
Credit Card,3111 3450 2930 9203,2017-12-28,,DR,$5.40,Taco Bell,,,,,
Credit Card,3111 3450 2930 9203,2017-12-28,,DR,$23.00,Margaritas,,,,,
Credit Card,3111 3450 2930 9203,2017-12-29,,DR,$10.00,Hoolihans,,,,, 
Credit Card,3111 3450 2930 9203,2017-12-29,,DR,$12.35,Gordon Biersch,,,,,
Credit Card,3111 3450 2930 9203,2018-01-05,,DR,$11.34,Forever 21,,,, ,
Credit Card,3111 3450 2930 9203,2018-01-05,,DR,$16.34,Lids,,,,,
Credit Card,3111 3450 2930 9203,2018-01-05,,DR,$8.93,Starbucks,,,,,
Credit Card,3111 3450 2930 9203,2018-01-05,,DR,$7.45,Dairy Queen,,,,,
Credit Card,3111 3450 2930 9203,2018-01-06,,DR,$9.12,Mini Golf,,,,,
Credit Card,3111 3450 2930 9203,2018-01-18,,DR,$16.45,Home Depot,,,,,
Credit Card,3111 3450 2930 9203,2018-01-18,,DR,$17.09,Walmart ,,,,,
Credit Card,3111 3450 2930 9203,2018-01-18,,DR,$10.00,Quick Trip,,,,,
Credit Card,3111 3450 2930 9203,2018-01-18,,DR,$34.00,Quick Trip,,,,,
Credit Card,3111 3450 2930 9203,2018-01-19,,DR,$12.43,Wings Café,,,,,
Credit Card,3111 3450 2930 9203,2018-01-20,,DR,$9.00,Chipotle,,,,,
Credit Card,3111 3450 2930 9203,2018-01-23,,DR,$43.78,Bristol,,,,,
Credit Card,3111 3450 2930 9203,2018-01-24,,DR,$67.00,Tanners,,, ,,
Credit Card,3111 3450 2930 9203,2018-01-24,,DR,$12.45,Kwik Shop,,,,,
Credit Card,3111 3450 2930 9203,2018-01-15,,DR,$8.00,Burger King,,,,,
Credit Card,3111 3450 2930 9203,2018-01-26, ,DR,$5.00,Dollar Store,,,,,
Credit Card,3111 3450 2930 9203,2018-01-27,,DR,$4.56,Quick Trip,,,,,
,,,,,,,,,,,
Savings,3011111130,2017-11-01,872.00,,,,,,,,
Savings,3011111130,2017-11-07,,CR,$100.00,Refund check ,,,,,
Savings,3011111130,2018-11-08,,CR,$150.00,Payroll,,,,,
Savings,3011111130,2017-11-30,,CR,$0.02,Interest,,,,,
Savings,3011111130,2017-12-17,,CR,$150.00,Payroll,,,,,
Savings,3011111130,2018-12-18,,DR,$492.00,Property taxes,,,,,
Savings,3011111130,2017-12-31,,CR,$0.04,Interest,,,,,
Savings,3011111130,2018-01-13,,CR,$150.00,Payroll,,,,,
,,,,,,,,,,,
