Account Type,Acct #,Processing Date,Balance,CR (Deposit) or DR (Withdrawal,Amount,Description 1,,,,
Checking,411111111,11/01/16,"5,340.28",,,,,,,
Checking,411111111,11/02/16,,DR,$200.00,Verizon,,,,
Checking,411111111,11/02/16,,DR,$18.24,Panda Express,,,,
Checking,411111111,11/02/16,,DR,$64.03,CVS,,,,
Checking,411111111,11/02/16,,DR,$122.08,Maurices,,,,
Checking,411111111,11/02/16,,DR,$26.11,QuikTrip,,,,
Checking,411111111,11/04/16,,DR,$24.69,QuikTrip,,,,
Checking,411111111,11/07/16,,DR,$14.47,KFC,,,,
Checking,411111111,11/07/16,,DR,$9.00,Car wash,,,,
Checking,411111111,11/07/16,,DR,$38.08,Dollar General,,,, 
Checking,411111111,11/07/16,,DR,$75.00,Price Chopper,,,,
Checking,411111111,11/08/16,,DR,$85.25,Bank of America Credit Card Payment,,,,
Checking,411111111,11/09/16,,DR,$125.00,Doctor,,,,
Checking,411111111,11/09/16,,DR,$35.80,QuikTrip,,,,
Checking,411111111,11/09/16,,DR,$24.40,Red Robin,,,,
Checking,411111111,11/14/16,,DR,$45.00,Doctor,,,,
Checking,411111111,11/14/16,,DR,$10.65,Starbucks,,,,
Checking,411111111,11/15/16,,CR,"$2,000.00",Payroll,,,,
Checking,411111111,11/15/16,,DR,$139.72,AT&T,,,,
Checking,411111111,11/16/16,,DR,$200.00,Transfer to Savings,,,,
Checking,411111111,11/16/16,,DR,$200.00,Transfer to another bank,,,,
Checking,411111111,11/16/16,,DR,$25.00,Best Buy,,,,
Checking,411111111,11/16/16,,DR,$25.00,Target,,,,
Checking,411111111,11/16/16,,DR,$25.00,Walmart,,,,
Checking,411111111,11/16/16,,DR,$25.00,Amazon,,,,
Checking,411111111,11/16/16,,DR,$100.00,KCPL,,,,
Checking,411111111,11/17/16,,DR,$23.55,Bristol,,,,
Checking,411111111,11/18/16,,DR,$80.00,CVS,,,,
Checking,411111111,11/18/16,,DR,$300.00,Rent,,,,
Checking,411111111,11/18/16,,DR,$125.00,Airline ticket,,,,
Checking,411111111,11/18/16,,DR,$97.69,Maurices,,,,
Checking,411111111,11/21/16,,DR,$41.04,Price Chopper,,,,
Checking,411111111,11/21/16,,DR,$86.00,Home Depot,,,,
Checking,411111111,11/21/16,,DR,$63.55,Bristol,,,,
Checking,411111111,11/21/16,,DR,$494.08,Nebraska Furniture Mart,,,,
Checking,411111111,11/21/16,,DR,$328.43,State Farm,,,,
Checking,411111111,11/22/16,,DR,$164.21,Walmart,,,,
Checking,411111111,11/23/16,,DR,$100.00,Doctor,,,,
Checking,411111111,11/23/16,,DR,$32.23,Walmart,,,,
Checking,411111111,11/25/16,,DR,$30.00,ATM,,,,
Checking,411111111,11/25/16,,DR,$21.52,QuikTrip,,,,
Checking,411111111,11/28/16,,DR,$72.21,Price Chopper,,,,
Checking,411111111,11/28/16,,DR,$88.25,Hobby Lobby,,,,
Checking,411111111,11/28/16,,DR,$42.51,Walmart,,,,
Checking,411111111,11/29/16,,DR,$100.00,Transfer to Savings,,,,
Checking,411111111,11/29/16,,DR,$100.00,Check to sister,,,,
Checking,411111111,11/29/16,,DR,$36.00,Brew Top,,,,
Checking,411111111,11/30/16,,CR,"$2,000.00",Payroll,,,,
Checking,411111111,11/30/16,,DR,$300.00,Transfer to Savings,,,,
Checking,411111111,11/30/16,,DR,$157.99,Verizon,,,,
Checking,411111111,11/30/16,,DR,$100.00,AT&T,,,,
Checking,411111111,11/30/16,,DR,$100.00,KCPL,,,,
Checking,411111111,11/30/16,,DR,$4.00,Starbucks,,,,
Checking,411111111,12/01/16,,DR,$80.68,Walmart,,,,
